system:index,Image+_Date,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
LC08_068014_20160907_8,9/7/16,1.259259259,0.301675978,0.268,-0.01537899,40707,-5.00E-04,YF04,7,-146.186808,0.114754098,1.027932961,1.055865922,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.186808,66.501153]}"
LC08_068014_20160907_7,9/7/16,0.813084112,0.379084967,2.832,-0.01391089,40710,-0.0027,Canvasback Lake,6,-146.358557,-0.103092784,1.176470588,1.078431373,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.358557,66.384025]}"
LC08_068014_20160907_3,9/7/16,0.681818182,0.692307692,0.781,-0.00777676,40711,-0.0036,Abraham Lake,2,-146.719589,-0.189189189,1.461538462,1.256410256,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.719589,66.188766]}"
LC08_068014_20160907_15,9/7/16,0.358333333,0.106481481,3.331,-0.01152944,40345,0.0095,Ninemile Lake,14,-146.660943,-0.472392638,0.560185185,0.662037037,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.660943,66.185801]}"
LC08_068014_20160907_9,9/7/16,0.342105263,0.267175573,4.555,-0.00983538,40710,5.00E-04,Scoter Lake,8,-146.411736,-0.490196078,0.961832061,0.847328244,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.411736,66.235088]}"
LC08_068014_20160907_6,9/7/16,0.675,0.636363636,0.734,-0.00644913,40710,-0.0014,Boot Lake,5,-146.27048,-0.194029851,1.181818182,1.155844156,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.27048,66.07318]}"
LC08_068014_20160907_20,9/7/16,0.587378641,-0.132575758,0.988,-0.01771264,41167.44097,0.0096,Thumb Lake,19,-146.144,-0.259938838,0.636363636,0.647727273,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.144,66.17525]}"
LC08_068014_20160907_16,9/7/16,0.705882353,0.787234043,0.501,-0.00450723,41167.5625,-0.0027,West Crazy Lake,15,-146.596,-0.172413793,1.574468085,1.14893617,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.596,65.9286111]}"
LC08_068014_20160907_4,9/7/16,0.405405405,0.234899329,0.967,-0.00781011,40342,0.0062,Greenpepper Lake,3,-146.731136,-0.423076923,0.583892617,0.731543624,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.731136,66.095279]}"
LC08_069013_20160610_17,6/10/16,0.409090909,-0.254237288,0.593,-0.01355263,40710,0.0072,YF20,16,-145.774929,-0.419354839,0.593220339,0.740112994,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
